state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year,state_name,tmin,tmedian,tmean,tmax
AL,16000.0,71,1136000.0,159000.0,0.72,818000.0,1998,Alabama,9.1,18.2,18.8,28.1
AL,17000.0,68,1156000.0,185000.0,0.56,647000.0,1999,Alabama,8.7,18.8,18.3,28.2
AL,16000.0,78,1248000.0,187000.0,0.59,736000.0,2000,Alabama,4.2,17.2,17.9,28.1
AL,14000.0,73,1022000.0,235000.0,0.72,736000.0,2001,Alabama,5.4,17.4,17.7,27.1
AL,12000.0,86,1032000.0,103000.0,1.18,1218000.0,2002,Alabama,7.7,19.9,18.0,27.4
AL,13000.0,82,1066000.0,43000.0,1.24,1322000.0,2003,Alabama,4.8,17.8,17.5,26.9
AL,12000.0,87,1044000.0,282000.0,1.41,1472000.0,2004,Alabama,7.0,18.6,17.8,26.8
AL,13000.0,66,858000.0,266000.0,1.02,875000.0,2005,Alabama,6.6,17.3,17.9,27.5
AL,11000.0,72,792000.0,230000.0,1.21,958000.0,2006,Alabama,8.0,18.6,18.3,28.5
AL,11000.0,56,616000.0,209000.0,1.49,918000.0,2007,Alabama,7.5,17.8,18.4,29.6
AL,9000.0,66,594000.0,214000.0,1.9,1129000.0,2008,Alabama,6.4,17.2,17.6,27.2
AL,9000.0,50,450000.0,68000.0,1.86,837000.0,2009,Alabama,7.3,17.2,17.6,26.9
AL,9000.0,54,486000.0,73000.0,2.4,1166000.0,2010,Alabama,4.6,18.3,17.5,28.8
AL,9000.0,50,450000.0,63000.0,2.51,1130000.0,2011,Alabama,5.3,17.7,18.1,28.3
AL,8000.0,54,432000.0,65000.0,2.47,1067000.0,2012,Alabama,10.3,18.5,18.7,28.1
AR,53000.0,65,3445000.0,1688000.0,0.59,2033000.0,1998,Arkansas,6.7,16.7,17.5,29.1
AR,52000.0,89,4628000.0,2592000.0,0.53,2453000.0,1999,Arkansas,6.0,17.3,17.0,27.9
AR,52000.0,93,4836000.0,3337000.0,0.57,2757000.0,2000,Arkansas,-0.1,16.6,16.4,29.2
AR,50000.0,98,4900000.0,1617000.0,0.65,3185000.0,2001,Arkansas,2.9,17.1,16.5,28.1
AR,45000.0,88,3960000.0,871000.0,1.26,4990000.0,2002,Arkansas,5.9,17.0,16.2,27.4
AR,40000.0,75,3000000.0,810000.0,1.26,3780000.0,2003,Arkansas,2.8,17.1,16.0,27.6
AR,40000.0,57,2280000.0,388000.0,0.87,1984000.0,2004,Arkansas,4.9,17.6,16.4,25.9
AR,36000.0,69,2484000.0,571000.0,0.97,2409000.0,2005,Arkansas,4.5,16.4,16.9,28.3
AR,32000.0,76,2432000.0,730000.0,0.89,2164000.0,2006,Arkansas,5.0,17.6,16.9,28.3
AR,28000.0,80,2240000.0,672000.0,0.95,2128000.0,2007,Arkansas,4.4,16.8,16.8,29.2
