state,year,state_name,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,totalpest,tmin,tmedian,tmean,tmax
AL,1991,Alabama,23000.0,24,552000.0,66000.0,0.63,348000.0,0.0,7.8,18.6,18.0,27.3
AL,1992,Alabama,25000.0,41,1025000.0,113000.0,0.59,605000.0,0.0,7.0,16.7,17.0,27.0
AL,1993,Alabama,19000.0,45,855000.0,103000.0,0.59,504000.0,0.0,7.5,16.2,17.1,28.2
AL,1994,Alabama,18000.0,50,900000.0,99000.0,0.52,468000.0,0.0,5.1,18.2,17.5,25.9
AL,1995,Alabama,16000.0,58,928000.0,28000.0,0.69,640000.0,716.5,7.2,17.7,17.5,28.1
AL,1996,Alabama,15000.0,64,960000.0,96000.0,0.87,835000.0,371.6,6.5,16.6,17.1,26.9
AL,1997,Alabama,14000.0,66,924000.0,92000.0,0.81,748000.0,6704.8,7.4,17.0,17.3,27.3
AL,1998,Alabama,16000.0,71,1136000.0,159000.0,0.72,818000.0,1836.3,9.1,18.2,18.8,28.1
AL,1999,Alabama,17000.0,68,1156000.0,185000.0,0.56,647000.0,1251.2,8.7,18.8,18.3,28.2
AL,2000,Alabama,16000.0,78,1248000.0,187000.0,0.59,736000.0,1499.2,4.2,17.2,17.9,28.1
AL,2001,Alabama,14000.0,73,1022000.0,235000.0,0.72,736000.0,1490.8,5.4,17.4,17.7,27.1
AL,2002,Alabama,12000.0,86,1032000.0,103000.0,1.18,1218000.0,2019.2,7.7,19.9,18.0,27.4
AL,2003,Alabama,13000.0,82,1066000.0,43000.0,1.24,1322000.0,1260.0,4.8,17.8,17.5,26.9
AL,2004,Alabama,12000.0,87,1044000.0,282000.0,1.41,1472000.0,7864.2,7.0,18.6,17.8,26.8
AL,2005,Alabama,13000.0,66,858000.0,266000.0,1.02,875000.0,7992.0,6.6,17.3,17.9,27.5
AL,2006,Alabama,11000.0,72,792000.0,230000.0,1.21,958000.0,10281.8,8.0,18.6,18.3,28.5
AL,2007,Alabama,11000.0,56,616000.0,209000.0,1.49,918000.0,15103.9,7.5,17.8,18.4,29.6
AL,2008,Alabama,9000.0,66,594000.0,214000.0,1.9,1129000.0,9109.4,6.4,17.2,17.6,27.2
AL,2009,Alabama,9000.0,50,450000.0,68000.0,1.86,837000.0,13155.3,7.3,17.2,17.6,26.9
AL,2010,Alabama,9000.0,54,486000.0,73000.0,2.4,1166000.0,8329.3,4.6,18.3,17.5,28.8
AL,2011,Alabama,9000.0,50,450000.0,63000.0,2.51,1130000.0,22484.0,5.3,17.7,18.1,28.3
AL,2012,Alabama,8000.0,54,432000.0,65000.0,2.47,1067000.0,18049.5,10.3,18.5,18.7,28.1
AL,2013,Alabama,7000.0,52,364000.0,55000.0,2.85,1037000.0,19479.3,9.2,20.6,19.0,26.1
AR,1991,Arkansas,47000.0,79,3713000.0,557000.0,0.54,2005000.0,0.0,3.0,17.3,16.6,27.3
AR,1992,Arkansas,45000.0,65,2925000.0,410000.0,0.52,1521000.0,0.0,5.1,16.3,15.8,26.6
AR,1993,Arkansas,50000.0,73,3650000.0,548000.0,0.5,1825000.0,0.0,4.3,14.3,15.4,28.7
AR,1994,Arkansas,50000.0,71,3550000.0,817000.0,0.51,1811000.0,0.0,2.6,17.1,16.0,26.2
AR,1995,Arkansas,50000.0,60,3000000.0,900000.0,0.71,2130000.0,11115.6,5.1,16.3,16.1,28.7
AR,1996,Arkansas,40000.0,84,3360000.0,336000.0,0.85,2856000.0,493.6,3.6,15.6,15.6,26.5
AR,1997,Arkansas,50000.0,95,4750000.0,3468000.0,0.7,3325000.0,2353.7,3.7,14.9,15.6,27.7
AR,1998,Arkansas,53000.0,65,3445000.0,1688000.0,0.59,2033000.0,1262.3,6.7,16.7,17.5,29.1
AR,1999,Arkansas,52000.0,89,4628000.0,2592000.0,0.53,2453000.0,692.2,6.0,17.3,17.0,27.9
AR,2000,Arkansas,52000.0,93,4836000.0,3337000.0,0.57,2757000.0,925.2,-0.1,16.6,16.4,29.2
AR,2001,Arkansas,50000.0,98,4900000.0,1617000.0,0.65,3185000.0,3569.7,2.9,17.1,16.5,28.1
AR,2002,Arkansas,45000.0,88,3960000.0,871000.0,1.26,4990000.0,2876.6,5.9,17.0,16.2,27.4
AR,2003,Arkansas,40000.0,75,3000000.0,810000.0,1.26,3780000.0,5567.4,2.8,17.1,16.0,27.6
AR,2004,Arkansas,40000.0,57,2280000.0,388000.0,0.87,1984000.0,25153.2,4.9,17.6,16.4,25.9
AR,2005,Arkansas,36000.0,69,2484000.0,571000.0,0.97,2409000.0,17652.0,4.5,16.4,16.9,28.3
AR,2006,Arkansas,32000.0,76,2432000.0,730000.0,0.89,2164000.0,33889.5,5.0,17.6,16.9,28.3
AR,2007,Arkansas,28000.0,80,2240000.0,672000.0,0.95,2128000.0,31712.8,4.4,16.8,16.8,29.2
AR,2008,Arkansas,28000.0,75,2100000.0,525000.0,1.35,2835000.0,37361.2,3.9,15.5,15.8,27.3
AR,2009,Arkansas,24000.0,57,1368000.0,301000.0,1.42,1943000.0,35961.9,3.5,14.8,15.8,26.4
AR,2010,Arkansas,25000.0,60,1500000.0,360000.0,1.47,2205000.0,34965.5,2.5,17.5,16.5,29.3
AR,2011,Arkansas,22000.0,64,1408000.0,239000.0,1.62,2281000.0,57431.8,3.1,17.0,16.9,29.7
AR,2012,Arkansas,25000.0,63,1575000.0,189000.0,1.98,3119000.0,51226.5,7.1,17.6,17.8,29.4
AR,2013,Arkansas,22000.0,60,1320000.0,66000.0,2.02,2666000.0,58521.1,5.7,19.9,17.5,26.1
AZ,1991,Arizona,75000.0,50,3750000.0,750000.0,0.53,1988000.0,0.0,4.6,15.5,15.2,26.5
AZ,1992,Arizona,70000.0,54,3780000.0,1285000.0,0.55,2079000.0,0.0,3.5,17.0,15.4,25.8
AZ,1993,Arizona,55000.0,77,4235000.0,932000.0,0.52,2202000.0,0.0,5.2,15.5,15.6,26.0
AZ,1994,Arizona,47000.0,59,2773000.0,166000.0,0.51,1414000.0,2653.2,6.0,15.0,16.0,27.7
AZ,1995,Arizona,52000.0,79,4108000.0,986000.0,0.65,2670000.0,8260.6,5.4,14.9,16.2,27.7
AZ,1996,Arizona,32000.0,60,1920000.0,307000.0,0.85,1632000.0,6156.9,6.5,15.8,16.7,28.1
AZ,1997,Arizona,42000.0,80,3360000.0,1344000.0,0.72,2419000.0,10204.2,4.0,14.6,16.0,26.6
AZ,1998,Arizona,55000.0,60,3300000.0,1485000.0,0.64,2112000.0,4814.2,5.6,13.8,15.3,27.6
AZ,1999,Arizona,52000.0,62,3224000.0,1548000.0,0.62,1999000.0,5171.6,5.3,15.1,16.0,26.0
AZ,2000,Arizona,40000.0,59,2360000.0,1322000.0,0.73,1723000.0,10467.4,6.5,16.1,16.5,27.7
AZ,2001,Arizona,43000.0,59,2537000.0,1142000.0,0.72,1827000.0,3732.7,4.2,16.1,16.3,26.8
AZ,2002,Arizona,38000.0,63,2394000.0,1197000.0,1.08,2586000.0,6939.2,4.8,16.1,16.3,28.2
AZ,2003,Arizona,35000.0,72,2520000.0,983000.0,1.34,3377000.0,11062.1,5.8,16.4,16.7,29.0
AZ,2004,Arizona,32000.0,55,1760000.0,774000.0,1.11,1954000.0,12874.7,5.5,15.0,15.8,27.0
AZ,2005,Arizona,36000.0,50,1800000.0,720000.0,1.04,1872000.0,11284.3,6.3,15.6,16.3,28.4
AZ,2006,Arizona,30000.0,65,1950000.0,839000.0,0.91,1775000.0,13724.3,5.1,15.3,16.2,28.2
AZ,2007,Arizona,30000.0,64,1920000.0,902000.0,1.26,2419000.0,10070.2,3.6,16.0,16.4,28.0
AZ,2008,Arizona,25000.0,64,1600000.0,336000.0,1.26,2016000.0,10524.4,4.0,15.8,15.9,27.2
AZ,2009,Arizona,20000.0,52,1040000.0,562000.0,1.45,1508000.0,11348.1,3.6,14.5,16.2,28.5
AZ,2010,Arizona,24000.0,77,1848000.0,665000.0,1.52,2809000.0,12535.0,5.3,15.2,15.8,27.9
AZ,2011,Arizona,23000.0,53,1219000.0,427000.0,1.55,1889000.0,20910.2,4.0,16.0,15.8,28.1
AZ,2012,Arizona,22000.0,46,1012000.0,253000.0,1.79,1811000.0,15238.3,5.4,16.7,16.8,27.2
AZ,2013,Arizona,29000.0,36,1044000.0,251000.0,1.96,2046000.0,19569.3,3.4,19.8,17.8,27.5
CA,1991,California,520000.0,63,32760000.0,3276000.0,0.54,17690000.0,0.0,6.4,13.2,14.6,24.1
CA,1992,California,470000.0,57,31490000.0,4094000.0,0.52,16375000.0,0.0,4.7,16.1,15.3,24.5
CA,1993,California,500000.0,90,45000000.0,7200000.0,0.5,22500000.0,0.0,5.2,14.7,14.4,23.0
CA,1994,California,400000.0,60,24000000.0,6480000.0,0.51,12240000.0,2348.0,5.6,14.1,14.6,24.7
CA,1995,California,420000.0,93,39060000.0,4687000.0,0.63,24608000.0,28576.6,7.1,14.1,15.1,23.9
CA,1996,California,390000.0,70,27300000.0,4641000.0,0.84,22932000.0,33002.7,7.5,14.6,15.4,25.6
CA,1997,California,420000.0,75,31500000.0,9450000.0,0.7,22050000.0,76719.6,5.8,14.2,15.2,23.9
CA,1998,California,450000.0,83,37350000.0,12326000.0,0.62,23157000.0,61047.2,5.5,12.3,13.9,25.1
CA,1999,California,465000.0,60,27900000.0,9486000.0,0.55,15345000.0,41778.9,7.2,13.9,14.5,23.0
CA,2000,California,440000.0,70,30800000.0,11396000.0,0.59,18172000.0,30796.5,7.7,14.6,15.0,23.9
CA,2001,California,460000.0,61,28060000.0,7857000.0,0.69,19361000.0,35178.6,5.8,14.6,15.2,24.4
CA,2002,California,470000.0,50,23500000.0,3525000.0,1.32,31020000.0,44682.6,5.8,14.3,15.0,25.2
CA,2003,California,480000.0,67,32160000.0,6432000.0,1.39,44702000.0,55419.8,6.7,14.1,15.4,25.9
CA,2004,California,390000.0,45,17550000.0,5792000.0,1.05,18428000.0,59321.1,6.5,14.4,15.1,24.5
CA,2005,California,400000.0,75,30000000.0,9300000.0,0.86,25800000.0,62021.8,6.8,13.7,14.9,25.7
CA,2006,California,380000.0,52,19760000.0,7706000.0,0.97,19167000.0,64488.1,6.7,13.4,14.9,26.3
CA,2007,California,340000.0,40,13600000.0,3672000.0,1.04,14144000.0,126006.2,5.2,14.2,15.1,25.0
CA,2008,California,360000.0,51,18360000.0,4039000.0,1.39,25520000.0,101975.6,5.1,14.6,15.1,24.7
CA,2009,California,355000.0,33,11715000.0,2109000.0,1.39,16284000.0,88386.0,5.4,13.6,15.0,25.3
CA,2010,California,410000.0,67,27470000.0,6318000.0,1.55,42579000.0,111344.4,7.3,12.5,14.4,24.5
CA,2011,California,370000.0,48,17760000.0,3730000.0,1.65,29304000.0,149528.3,6.3,13.3,14.3,24.0
CA,2012,California,330000.0,35,11550000.0,3119000.0,1.94,22407000.0,140689.4,6.1,15.1,15.4,25.4
CA,2013,California,330000.0,33,10890000.0,2505000.0,2.11,22978000.0,167111.2,5.6,17.9,16.8,25.6
CO,1991,Colorado,50000.0,79,3950000.0,514000.0,0.63,2489000.0,0.0,-6.0,6.8,7.2,19.3
