state_name,year,tmin,tmedian,tmean,tmax,state
Alabama,1998,9.1,18.2,18.8,28.1,AL
Alabama,1999,8.7,18.8,18.3,28.2,AL
Alabama,2000,4.2,17.2,17.9,28.1,AL
Alabama,2001,5.4,17.4,17.7,27.1,AL
Alabama,2002,7.7,19.9,18.0,27.4,AL
Alabama,2003,4.8,17.8,17.5,26.9,AL
Alabama,2004,7.0,18.6,17.8,26.8,AL
Alabama,2005,6.6,17.3,17.9,27.5,AL
Alabama,2006,8.0,18.6,18.3,28.5,AL
Alabama,2007,7.5,17.8,18.4,29.6,AL
Alabama,2008,6.4,17.2,17.6,27.2,AL
Alabama,2009,7.3,17.2,17.6,26.9,AL
Alabama,2010,4.6,18.3,17.5,28.8,AL
Alabama,2011,5.3,17.7,18.1,28.3,AL
Alabama,2012,10.3,18.5,18.7,28.1,AL
Arizona,1998,5.6,13.8,15.3,27.6,AZ
Arizona,1999,5.3,15.1,16.0,26.0,AZ
Arizona,2000,6.5,16.1,16.5,27.7,AZ
Arizona,2001,4.2,16.1,16.3,26.8,AZ
Arizona,2002,4.8,16.1,16.3,28.2,AZ
Arizona,2003,5.8,16.4,16.7,29.0,AZ
Arizona,2004,5.5,15.0,15.8,27.0,AZ
Arizona,2005,6.3,15.6,16.3,28.4,AZ
Arizona,2006,5.1,15.3,16.2,28.2,AZ
Arizona,2007,3.6,16.0,16.4,28.0,AZ
Arizona,2008,4.0,15.8,15.9,27.2,AZ
Arizona,2009,3.6,14.5,16.2,28.5,AZ
Arizona,2010,5.3,15.2,15.8,27.9,AZ
Arizona,2011,4.0,16.0,15.8,28.1,AZ
Arizona,2012,5.4,16.7,16.8,27.2,AZ
Arkansas,1998,6.7,16.7,17.5,29.1,AR
Arkansas,1999,6.0,17.3,17.0,27.9,AR
Arkansas,2000,-0.1,16.6,16.4,29.2,AR
Arkansas,2001,2.9,17.1,16.5,28.1,AR
Arkansas,2002,5.9,17.0,16.2,27.4,AR
Arkansas,2003,2.8,17.1,16.0,27.6,AR
Arkansas,2004,4.9,17.6,16.4,25.9,AR
Arkansas,2005,4.5,16.4,16.9,28.3,AR
Arkansas,2006,5.0,17.6,16.9,28.3,AR
Arkansas,2007,4.4,16.8,16.8,29.2,AR
Arkansas,2008,3.9,15.5,15.8,27.3,AR
Arkansas,2009,3.5,14.8,15.8,26.4,AR
Arkansas,2010,2.5,17.5,16.5,29.3,AR
Arkansas,2011,3.1,17.0,16.9,29.7,AR
Arkansas,2012,7.1,17.6,17.8,29.4,AR
California,1998,5.5,12.3,13.9,25.1,CA
California,1999,7.2,13.9,14.5,23.0,CA
California,2000,7.7,14.6,15.0,23.9,CA
California,2001,5.8,14.6,15.2,24.4,CA
California,2002,5.8,14.3,15.0,25.2,CA
California,2003,6.7,14.1,15.4,25.9,CA
California,2004,6.5,14.4,15.1,24.5,CA
California,2005,6.8,13.7,14.9,25.7,CA
California,2006,6.7,13.4,14.9,26.3,CA
California,2007,5.2,14.2,15.1,25.0,CA
California,2008,5.1,14.6,15.1,24.7,CA
California,2009,5.4,13.6,15.0,25.3,CA
California,2010,7.3,12.5,14.4,24.5,CA
California,2011,6.3,13.3,14.3,24.0,CA
California,2012,6.1,15.1,15.4,25.4,CA
Colorado,1998,-3.4,6.5,7.8,20.6,CO
Colorado,1999,-2.7,6.9,8.0,20.2,CO
Colorado,2000,-3.9,8.1,8.2,21.0,CO
Colorado,2001,-4.4,8.1,8.1,21.3,CO
Colorado,2002,-4.0,7.2,7.7,21.8,CO
Colorado,2003,-3.4,8.9,8.3,22.5,CO
Colorado,2004,-3.6,7.4,7.6,19.0,CO
Colorado,2005,-3.7,7.5,8.1,21.2,CO
Colorado,2006,-3.2,7.6,8.0,21.0,CO
Colorado,2007,-7.1,7.5,7.8,21.0,CO
Colorado,2008,-6.5,6.6,7.1,20.8,CO
Colorado,2009,-7.0,5.1,7.2,19.5,CO
Colorado,2010,-4.4,7.9,7.8,20.5,CO
Colorado,2011,-4.8,7.1,7.4,21.2,CO
Colorado,2012,-3.8,8.4,9.0,21.6,CO
Florida,1998,16.2,23.1,23.0,29.0,FL
Florida,1999,16.0,23.1,22.3,28.6,FL
Florida,2000,14.5,21.4,22.0,28.1,FL
Florida,2001,12.4,22.1,22.2,27.8,FL
Florida,2002,15.2,24.3,22.4,27.8,FL
Florida,2003,12.1,22.6,22.2,27.7,FL
Florida,2004,14.6,22.4,22.1,28.0,FL
Florida,2005,14.8,22.0,22.1,28.8,FL
Florida,2006,15.3,22.9,22.4,28.5,FL
Florida,2007,15.2,22.4,22.6,29.1,FL
Florida,2008,15.3,21.9,22.1,27.8,FL
Florida,2009,14.8,22.9,22.3,28.2,FL
Florida,2010,11.2,22.2,21.3,28.9,FL
Florida,2011,13.6,22.6,22.6,29.1,FL
Florida,2012,16.0,22.8,22.7,28.1,FL
Georgia,1998,10.1,18.5,19.2,28.3,GA
Georgia,1999,9.3,19.1,18.5,28.2,GA
Georgia,2000,5.3,17.2,17.9,27.6,GA
Georgia,2001,6.7,17.6,18.2,26.8,GA
Georgia,2002,8.1,20.5,18.5,27.6,GA
Georgia,2003,6.2,18.1,18.0,26.8,GA
Georgia,2004,7.7,18.8,18.3,27.2,GA
Georgia,2005,7.7,17.8,18.2,27.6,GA
Georgia,2006,9.0,18.7,18.6,28.1,GA
Georgia,2007,8.6,18.5,18.8,29.0,GA
Georgia,2008,7.6,17.4,18.1,27.0,GA
Georgia,2009,8.4,17.8,18.0,27.1,GA
Georgia,2010,5.0,18.7,17.8,28.5,GA
Georgia,2011,6.0,18.2,18.7,28.4,GA
Georgia,2012,10.5,18.8,19.1,28.3,GA
Hawaii,1998,21.0,22.4,22.6,24.5,HI
Hawaii,1999,20.9,22.8,22.6,24.2,HI
Hawaii,2000,20.7,23.1,22.9,24.8,HI
Hawaii,2001,21.2,23.1,23.1,25.0,HI
Hawaii,2002,20.6,23.3,23.1,25.0,HI
Hawaii,2003,21.1,23.4,23.3,25.2,HI
Hawaii,2004,21.6,23.6,23.4,25.3,HI
Hawaii,2005,21.2,23.6,23.3,25.2,HI
Hawaii,2006,20.8,23.1,23.0,24.8,HI
Hawaii,2007,21.0,23.1,23.0,24.6,HI
Hawaii,2008,20.9,22.9,22.8,24.3,HI
Hawaii,2009,20.2,23.2,22.8,25.0,HI
Hawaii,2010,21.1,23.0,22.8,24.1,HI
Hawaii,2011,21.5,22.9,22.9,24.2,HI
Hawaii,2012,21.0,22.7,22.7,24.1,HI
Idaho,1998,-6.0,5.4,6.4,20.3,ID
Idaho,1999,-4.2,5.5,6.1,18.2,ID
Idaho,2000,-5.1,6.7,6.2,19.0,ID
Idaho,2001,-6.2,5.4,6.4,19.9,ID
