state,state_full,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year,latitude,longitude,state_yr,temp_min,temp_max,temp_min C,temp_max C
AL,Alabama,16000,71,1136000,159000,0.72,818000,1998,32.361538,-86.279118,AL_1998,48.41,82.65,9.114,28.137
AK,Alaska,0,0,0,0,0,0,1998,0,0,AK_1998,0,0,0,0
AZ,Arizona,55000,60,3300000,1485000,0.64,2112000,1998,33.448457,-112.073844,AZ_1998,42.14,81.6,5.632,27.553
AR,Arkansas,53000,65,3445000,1688000,0.59,2033000,1998,34.736009,-92.331122,AR_1998,44.05,84.3,6.694,29.056
CA,California,450000,83,37350000,12326000,0.62,23157000,1998,38.555605,-121.468926,CA_1998,41.89,77.25,5.494,25.137
CO,Colorado,27000,72,1944000,1594000,0.7,1361000,1998,39.7391667,-104.984167,CO_1998,25.88,69.16,-3.4,20.646
CT,Connecticut,0,0,0,0,0,0,1998,0,0,CT_1998,0,0,0,0
DE,Delaware,0,0,0,0,0,0,1998,0,0,DE_1998,0,0,0,0
DC,District of Columbia,0,0,0,0,0,0,1998,0,0,DC_1998,0,0,0,0
FL,Florida,230000,98,22540000,4508000,0.64,14426000,1998,30.4518,-84.27277,FL_1998,61.1,84.22,16.164,29.012
GA,Georgia,75000,56,4200000,307000,0.69,2898000,1998,-84.27277,-84.39,GA_1998,50.11,83.02,10.06,28.342
HI,Hawaii,8000,118,944000,66000,0.77,727000,1998,21.30895,-157.826182,HI_1998,69.72,76.09,20.954,24.496
ID,Idaho,120000,50,6.00E+06,2220000,0.65,3900000,1998,43.613739,-116.237651,ID_1998,21.28,68.55,-5.953,20.307
IL,Illinois,9000,71,639000,204000,1.19,760000,1998,39.78325,-89.650373,IL_1998,32.36,76.3,0.198,24.613
IN,Indiana,9000,92,828000,489000,0.85,704000,1998,39.790942,-86.147685,IN_1998,35.02,75.03,1.678,23.903
IA,Iowa,50000,78,3900000,2301000,0.7,2730000,1998,41.590939,-93.620866,IA_1998,24.23,75.18,-4.314,23.991
KS,Kansas,16000,46,736000,390000,0.87,640000,1998,-93.620866,-95.69,KS_1998,32.87,80.47,0.483,26.927
KY,Kentucky,3000,50,150000,51000,1.4,210000,1998,38.197274,38.197274,KY_1998,40.72,77.09,4.845,25.048
LA,Louisiana,41000,111,4551000,865000,0.59,2685000,1998,30.45809,-91.140229,LA_1998,53.7,85.8,12.054,29.89
ME,Maine,10000,26,260000,117000,0.69,179000,1998,44.323535,-69.765261,ME_1998,18.77,66.12,-7.348,18.955
MD,Maryland,7000,44,308000,92000,1.1,339000,1998,38.972945,-76.501157,MD_1998,40.72,75.97,4.845,24.426
MA,Massachusetts,0,0,0,0,0,0,1998,0,0,MA_1998,0,0,0,0
MI,Michigan,80000,85,6800000,3672000,0.66,4488000,1998,42.7335,-84.5467,MI_1998,25.8,69.68,-3.446,20.935
MN,Minnesota,140000,79,11060000,2765000,0.65,7189000,1998,44.95,-93.094,MN_1998,14.49,69.71,-9.729,20.948
MS,Mississippi,18000,86,1548000,898000,0.58,898000,1998,32.32,-90.207,MS_1998,49.41,83.85,9.671,28.804
MO,Missouri,23000,66,1518000,455000,0.76,1154000,1998,38.572954,-92.189283,MO_1998,35.16,79,1.756,26.111
MT,Montana,115000,122,14030000,5472000,0.64,8979000,1998,46.595805,-112.027031,MT_1998,18.74,69.35,-7.365,20.751
NE,Nebraska,64000,70,4480000,2240000,0.86,3853000,1998,40.809868,-96.675345,NE_1998,26.62,76.04,-2.99,24.467
NV,Nevada,10000,46,460000,175000,1.65,759000,1998,39.160949,-119.753877,NV_1998,29.5,74.04,-1.387,23.355
NH,New Hampshire,0,0,0,0,0,0,1998,0,0,NH_1998,0,0,0,0
NJ,New Jersey,11000,49,539000,167000,0.76,410000,1998,40.221741,-74.756138,NJ_1998,37.85,74.23,3.25,23.462
NM,New Mexico,14000,55,770000,470000,0.76,585000,1998,35.667231,-105.964575,NM_1998,36.7,75.13,2.609,23.96
NY,New York,65000,80,5200000,2444000,0.7,3640000,1998,42.659829,-73.781339,NY_1998,28.05,69.62,-2.197,20.898
NC,North Carolina,8000,59,472000,151000,1.38,651000,1998,35.771,-78.638,NC_1998,44.98,79.19,7.21,26.214
ND,North Dakota,230000,128,29440000,8832000,0.63,18547000,1998,48.813343,-100.779004,ND_1998,10.73,71.34,-11.814,21.857
OH,Ohio,18000,78,1404000,702000,0.83,1165000,1998,39.962245,-83.000647,OH_1998,35.85,73.73,2.138,23.181
OK,Oklahoma,4000,51,204000,63000,1.24,253000,1998,35.482309,-97.534994,OK_1998,40.77,86.58,4.874,30.324
OR,Oregon,50000,45,2250000,1620000,0.9,2025000,1998,44.931109,-123.029159,OR_1998,30.24,68.73,-0.98,20.404
PA,Pennsylvania,26000,66,1716000,789000,0.8,1373000,1998,40.269789,-76.875613,PA_1998,34.58,71.68,1.433,22.044
RI,Rhode Island,0,0,0,0,0,0,1998,0,0,RI_1998,0,0,0,0
SC,South Carolina,0,0,0,0,0,0,1998,34,-81.035,SC_1998,48.93,83.02,9.403,28.344
SD,South Dakota,225000,95,21375000,10901000,0.64,13680000,1998,44.367966,-100.336378,SD_1998,19.72,74.31,-6.821,23.503
