state,state_full,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year,latitude,longitude,state_yr,temp_min,temp_max,temp_min C,temp_max C
CA,California,465000,60,27900000,9486000,0.55,15345000,1999,38.555605,-121.468926,CA_1999,45.01,73.46,7.227,23.032
CA,California,440000,70,30800000,11396000,0.59,18172000,2000,38.555605,-121.468926,CA_2000,45.8,75.05,7.667,23.915
CA,California,370000,48,17760000,3730000,1.65,29304000,2011,38.555605,-121.468926,CA_2011,43.26,75.26,6.257,24.032
CA,California,460000,61,28060000,7857000,0.69,19361000,2001,38.555605,-121.468926,CA_2001,42.38,75.96,5.767,24.423
CA,California,410000,67,27470000,6318000,1.55,42579000,2010,38.555605,-121.468926,CA_2010,45.17,76.11,7.316,24.508
CA,California,390000,45,17550000,5792000,1.05,18428000,2004,38.555605,-121.468926,CA_2004,43.69,76.13,6.494,24.515
CA,California,360000,51,18360000,4039000,1.39,25520000,2008,38.555605,-121.468926,CA_2008,41.21,76.51,5.119,24.726
CA,California,340000,40,13600000,3672000,1.04,14144000,2007,38.555605,-121.468926,CA_2007,41.29,76.92,5.159,24.957
CA,California,450000,83,37350000,12326000,0.62,23157000,1998,38.555605,-121.468926,CA_1998,41.89,77.25,5.494,25.137
CA,California,470000,50,23500000,3525000,1.32,31020000,2002,38.555605,-121.468926,CA_2002,42.47,77.37,5.817,25.204
CA,California,355000,33,11715000,2109000,1.39,16284000,2009,38.555605,-121.468926,CA_2009,41.64,77.54,5.357,25.301
CA,California,330000,35,11550000,3119000,1.94,22407000,2012,38.555605,-121.468926,CA_2012,42.91,77.73,6.062,25.407
CA,California,4.00E+05,75,3.00E+07,9300000,0.86,25800000,2005,38.555605,-121.468926,CA_2005,44.27,78.32,6.816,25.731
CA,California,480000,67,32160000,6432000,1.39,44702000,2003,38.555605,-121.468926,CA_2003,44.04,78.63,6.689,25.903
CA,California,380000,52,19760000,7706000,0.97,19167000,2006,38.555605,-121.468926,CA_2006,44.02,79.3,6.676,26.279
